01 -5 Star (Remix)                            [03:23]
   02 -Wait One Moment                           [03:18]
   03 -Jerk                                      [02:29]
   04 -28 Bars                                   [01:51]
   05 -Send Me an Angel                          [02:57]
   06 -Phone Ringin'                             [03:02]
   07 -Get it into it                            [02:34]
   08 -Bring it Back                             [02:03]
   09 -Numbers Dont Lie                          [02:45]
   10 -Believe Me                                [02:09]
   11 -Lots of Cash                              [03:05]
   12 -Champagne                                 [03:25]
   13 -What You Think                            [03:07]
   14 -Light Show                                [03:09]
   15 -Ghetto                                    [02:53]
   16 -Julius                                    [03:00]
   17 -Trickin'                                  [02:17]
   18 -Loco                                      [02:42]
   19 -Holla                                     [03:19]
   20 -Get it in                                 [03:13]
   21 -Take Me                                   [01:29]
   22 -Chuuuch                                   [02:51]
   23 -Standing in the Kitchen                   [02:29]
   24 -Al Green                                  [03:00]
   25 -Mo Money                                  [03:13]
   26 -2 Seats                                   [02:32]
   27 -Money in the Way                          [03:10]
   28 -Why He Getting' Dough                     [02:19]
   29 -Aww Man                                   [02:51]
   30 -Pure Cocaine                              [03:22]



                                            Time:[83:57]min
                                            Size:[ 75,5]MB
